cohort_month_key,months_since_first_order,cohort_customers,active_customers,retention_pct
201108,2,69,37,53.62
201108,3,69,33,47.83
201108,4,69,14,20.29
201109,0,73,73,100.0
201109,1,73,44,60.27
201109,2,73,44,60.27
201109,3,73,16,21.92
201110,0,82,82,100.0
201110,1,82,55,67.07
201110,2,82,23,28.05
201111,0,86,86,100.0
201111,1,86,24,27.91
201112,0,31,31,100.0
