customer_key,customer_id,country,cohort_label,net_revenue,net_revenue_cmp,returns_value,orders,revenue_rank,cumulative_revenue_share_pct
969,13395,United Kingdom,2010-08,689.38,478.91,44.66,3,66,38.57
457,12869,United Kingdom,2011-07,688.32,0.0,61.34,4,67,38.87
554,12970,United Kingdom,2011-02,682.06,0.0,0.0,3,68,39.17
2174,14638,United Kingdom,2011-04,677.85,0.0,147.72,4,69,39.46
1826,14279,United Kingdom,2010-04,672.71,344.89,106.73,5,70,39.75
1190,13623,United Kingdom,2011-09,670.8,0.0,0.0,3,71,40.05
1749,14197,United Kingdom,2011-11,665.79,0.0,35.28,3,72,40.33
2151,14614,United Kingdom,2011-03,661.31,0.0,0.0,5,73,40.62
2245,14709,United Kingdom,2010-01,650.31,1157.37,26.22,4,74,40.9
667,13087,United Kingdom,2011-11,643.72,0.0,0.0,3,75,41.18
63,12465,United Kingdom,2011-10,632.33,0.0,0.0,4,76,41.46
1110,13540,United Kingdom,2010-07,628.11,420.88,20.16,5,77,41.73
2090,14551,Germany,2010-11,624.64,243.57,0.0,4,78,42.0
1074,13502,United Kingdom,2010-07,623.39,169.08,0.0,3,79,42.27
522,12937,United Kingdom,2011-01,623.14,0.0,0.0,4,80,42.54
1300,13735,United Kingdom,2011-08,622.9,0.0,29.25,3,81,42.81
2307,14774,United Kingdom,2010-12,620.15,0.0,32.45,6,82,43.08
1868,14322,United Kingdom,2011-11,614.32,0.0,22.02,6,83,43.35
2239,14703,United Kingdom,2011-05,613.67,0.0,168.66,6,84,43.61
54,12456,United Kingdom,2010-05,611.68,638.13,38.56,5,85,43.88
570,12986,United Kingdom,2011-09,606.55,0.0,17.15,4,86,44.14
1495,13936,EIRE,2011-04,605.99,0.0,0.0,4,87,44.4
67,12469,United Kingdom,2011-03,604.43,0.0,0.0,5,88,44.66
455,12867,United Kingdom,2010-12,603.25,0.0,35.49,5,89,44.93
196,12599,United Kingdom,2011-09,602.72,0.0,0.0,2,90,45.19
113,12515,United Kingdom,2010-11,601.41,413.48,0.0,3,91,45.45
1566,14010,United Kingdom,2011-07,601.05,0.0,0.0,3,92,45.71
1965,14422,United Kingdom,2010-03,599.62,351.38,49.3,4,93,45.97
291,12697,United Kingdom,2010-10,596.51,10426.36,26.16,5,94,46.23
120,12522,United Kingdom,2011-11,593.83,0.0,0.0,4,95,46.49
177,12580,United Kingdom,2011-08,590.34,0.0,147.06,6,96,46.74
1043,13470,Germany,2011-06,587.13,0.0,0.0,4,97,47.0
1607,14051,United Kingdom,2010-11,583.9,708.09,33.04,1,98,47.25
1148,13580,United Kingdom,2011-08,576.32,0.0,14.36,4,99,47.5
1900,14354,United Kingdom,2011-08,574.87,0.0,0.0,2,100,47.75
772,13194,EIRE,2011-06,568.13,0.0,0.0,4,101,47.99
949,13375,United Kingdom,2010-03,566.96,224.33,0.0,4,102,48.24
1652,14097,United Kingdom,2010-05,564.6,872.9,0.0,4,103,48.49
1407,13846,United Kingdom,2011-01,563.9,0.0,9.66,5,104,48.73
1451,13891,United Kingdom,2010-03,563.47,862.5,10.14,4,105,48.97
1998,14456,United Kingdom,2011-04,563.33,0.0,0.0,4,106,49.22
459,12871,United Kingdom,2011-04,558.53,0.0,15.86,4,107,49.46
1260,13695,United Kingdom,2011-06,556.43,0.0,0.0,3,108,49.7
1294,13729,United Kingdom,2010-07,555.12,179.97,0.0,2,109,49.94
416,12828,Switzerland,2010-11,553.46,79.17,24.3,4,110,50.18
2141,14604,United Kingdom,2011-11,552.29,0.0,0.0,2,111,50.42
2228,14692,United Kingdom,2010-11,551.86,387.73,0.0,2,112,50.66
1050,13477,United Kingdom,2010-07,547.54,183.08,0.0,3,113,50.9
1640,14085,United Kingdom,2011-04,545.54,0.0,108.9,4,114,51.14
1633,14078,United Kingdom,2011-03,545.13,0.0,0.0,3,115,51.37
81,12483,United Kingdom,2010-12,540.17,0.0,0.0,2,116,51.61
493,12907,United Kingdom,2011-04,535.25,0.0,0.0,3,117,51.84
2268,14733,United Kingdom,2011-02,533.74,0.0,0.0,3,118,52.07
2076,14537,United Kingdom,2011-05,531.12,0.0,45.28,4,119,52.3
334,12741,United Kingdom,2010-06,530.08,38.58,22.48,2,120,52.53
60,12462,United Kingdom,2011-02,529.44,0.0,27.63,4,121,52.76
424,12836,United Kingdom,2011-10,524.78,0.0,0.0,4,122,52.99
1028,13454,United Kingdom,2010-09,524.73,350.74,30.72,2,123,53.22
817,13240,United Kingdom,2011-06,522.19,0.0,0.0,3,124,53.44
2285,14751,United Kingdom,2011-07,522.19,0.0,0.0,4,125,53.67
2071,14532,Spain,2011-11,521.76,0.0,0.0,1,126,53.89
1316,13752,United Kingdom,2011-09,521.52,0.0,0.0,4,127,54.12
1249,13684,United Kingdom,2011-11,519.6,0.0,0.0,5,128,54.35
724,13145,United Kingdom,2011-10,518.57,0.0,59.76,3,129,54.57
1694,14140,United Kingdom,2011-03,517.67,0.0,17.01,5,130,54.8
1155,13587,United Kingdom,2010-12,513.38,0.0,65.98,3,131,55.02
445,12857,United Kingdom,2010-08,513.25,90.16,0.0,4,132,55.24
1933,14389,United Kingdom,2010-10,512.09,94.85,0.0,1,133,55.46
943,13369,United Kingdom,2011-05,512.02,0.0,32.48,3,134,55.68
1115,13545,United Kingdom,2011-08,509.15,0.0,0.0,3,135,55.91
1211,13645,France,2010-10,508.09,855.28,0.0,5,136,56.13
421,12833,United Kingdom,2011-04,507.76,0.0,102.05,5,137,56.35
447,12859,United Kingdom,2011-03,493.99,0.0,52.72,3,138,56.56
413,12825,United Kingdom,2010-06,490.19,961.65,77.31,6,139,56.77
771,13193,United Kingdom,2010-10,490.02,259.59,123.84,3,140,56.98
422,12834,Germany,2010-05,489.46,623.77,0.0,3,141,57.2
2171,14635,France,2011-03,488.58,0.0,0.0,3,142,57.41
1070,13498,United Kingdom,2010-08,488.44,617.19,0.0,2,143,57.62
1536,13980,United Kingdom,2010-07,483.34,316.53,87.67,4,144,57.83
2140,14603,United Kingdom,2010-11,483.22,199.03,33.04,2,145,58.04
45,12447,United Kingdom,2010-11,482.79,29.65,0.0,3,146,58.25
1438,13878,United Kingdom,2010-09,482.26,459.64,0.0,2,147,58.46
1872,14326,United Kingdom,2010-02,482.11,321.69,0.0,2,148,58.67
1250,13685,United Kingdom,2010-01,482.1,273.21,58.48,4,149,58.88
184,12587,United Kingdom,2010-06,481.03,107.44,32.12,3,150,59.09
2279,14744,United Kingdom,2010-02,480.07,270.14,0.0,4,151,59.29
2211,14675,United Kingdom,2011-10,475.63,0.0,0.0,2,152,59.5
162,12565,United Kingdom,2011-11,474.23,0.0,0.0,2,153,59.71
2309,14776,United Kingdom,2011-11,471.48,0.0,0.0,2,154,59.91
844,13267,Belgium,2011-11,464.98,0.0,0.0,3,155,60.11
663,13083,United Kingdom,2010-07,458.93,126.84,0.0,3,156,60.31
490,12904,Norway,2011-11,456.05,0.0,0.0,2,157,60.51
2209,14673,United Kingdom,2011-01,453.54,0.0,0.0,3,158,60.7
187,12590,United Kingdom,2010-10,453.44,37.73,3.69,2,159,60.9
1721,14168,United Kingdom,2010-06,451.32,781.46,28.8,4,160,61.1
860,13285,United Kingdom,2010-04,445.42,483.82,0.0,2,161,61.29
1153,13585,United Kingdom,2010-10,445.0,373.2,96.29,3,162,61.48
438,12850,United Kingdom,2011-10,444.63,0.0,58.2,4,163,61.68
1273,13708,Spain,2010-07,442.6,353.37,0.0,2,164,61.87
1119,13549,United Kingdom,2011-11,439.43,0.0,0.0,2,165,62.06
2031,14490,United Kingdom,2010-10,433.67,391.77,0.0,2,166,62.25
1016,13442,United Kingdom,2009-12,432.95,32.76,0.0,1,167,62.43
1129,13559,United Kingdom,2011-06,431.77,0.0,0.0,3,168,62.62
1959,14416,United Kingdom,2010-09,431.43,0.0,33.6,3,169,62.81
2120,14583,United Kingdom,2010-11,430.23,100.58,0.0,3,170,63.0
1715,14161,Belgium,2011-10,428.2,0.0,57.4,3,171,63.18
1117,13547,United Kingdom,2011-11,424.01,0.0,0.0,1,172,63.37
991,13417,United Kingdom,2011-09,423.5,0.0,41.31,2,173,63.55
399,12810,United Kingdom,2011-04,423.22,0.0,0.0,2,174,63.73
782,13205,United Kingdom,2010-06,418.43,188.26,14.76,4,175,63.91
153,12556,United Kingdom,2011-10,417.7,0.0,109.4,3,176,64.09
2070,14530,United Kingdom,2010-10,417.38,163.73,19.58,5,177,64.28
1873,14327,United Kingdom,2010-10,413.49,525.89,81.28,4,178,64.46
2267,14732,United Kingdom,2011-11,411.98,0.0,0.0,2,179,64.63
387,12798,United Kingdom,2011-04,411.73,0.0,0.0,3,180,64.81
1340,13778,United Kingdom,2011-04,411.59,0.0,36.24,3,181,64.99
643,13062,Australia,2011-10,411.07,0.0,50.6,3,182,65.17
2019,14478,United Kingdom,2010-11,410.02,595.71,0.0,2,183,65.35
1012,13438,United Kingdom,2010-10,408.0,145.49,61.05,4,184,65.52
179,12582,Netherlands,2011-03,407.38,0.0,54.54,4,185,65.7
1212,13647,United Kingdom,2010-01,406.9,313.33,62.4,3,186,65.88
1964,14421,United Kingdom,2011-08,405.96,0.0,0.0,1,187,66.05
461,12873,United Kingdom,2010-10,405.18,26.2,0.0,2,188,66.23
1044,13471,United Kingdom,2010-03,404.65,135.89,0.0,2,189,66.4
1041,13468,Netherlands,2010-11,402.31,22.63,47.04,4,190,66.58
606,13023,United Kingdom,2011-11,401.38,0.0,0.0,3,191,66.75
546,12961,United Kingdom,2010-12,401.23,0.0,105.54,3,192,66.93
704,13124,United Kingdom,2011-08,398.21,0.0,0.0,3,193,67.1
2306,14772,United Kingdom,2011-02,397.27,0.0,0.0,2,194,67.27
1753,14201,United Kingdom,2011-11,394.32,0.0,0.0,2,195,67.44
1125,13555,United Kingdom,2010-09,393.81,67.52,50.05,1,196,67.61
1960,14417,France,2011-11,390.24,0.0,39.55,4,197,67.78
1703,14149,Spain,2011-05,389.51,0.0,0.0,2,198,67.95
477,12890,United Kingdom,2011-10,389.05,0.0,19.72,3,199,68.12
1866,14320,France,2011-09,387.4,0.0,0.0,2,200,68.29
175,12578,United Kingdom,2011-09,386.59,0.0,0.0,1,201,68.46
1253,13688,United Kingdom,2011-10,384.49,0.0,0.0,4,202,68.62
1434,13874,United Kingdom,2010-04,382.51,624.65,69.39,2,203,68.79
382,12793,United Kingdom,2010-11,381.27,126.2,11.12,4,204,68.95
2082,14543,United Kingdom,2011-02,378.0,0.0,0.0,2,205,69.12
1864,14318,United Kingdom,2011-11,377.97,0.0,0.0,4,206,69.28
1476,13916,United Kingdom,2011-11,375.72,0.0,0.0,1,207,69.44
1746,14194,United Kingdom,2010-10,374.91,0.0,35.92,2,208,69.61
718,13139,United Kingdom,2011-06,374.89,0.0,0.0,1,209,69.77
1481,13922,United Kingdom,2011-10,374.15,0.0,23.15,3,210,69.93
901,13327,United Kingdom,2010-06,374.06,210.27,24.0,3,211,70.09
1697,14143,United Kingdom,2011-10,374.06,0.0,61.18,3,212,70.26
265,12670,United Kingdom,2011-01,373.36,0.0,0.0,1,213,70.42
1897,14351,United Kingdom,2010-11,373.25,569.68,0.0,2,214,70.58
703,13123,United Kingdom,2010-09,369.55,171.28,0.0,2,215,70.74
409,12820,United Kingdom,2010-11,369.41,377.5,0.0,3,216,70.9
1716,14162,United Kingdom,2011-08,368.63,0.0,11.7,1,217,71.06
1343,13781,United Kingdom,2011-06,367.71,0.0,94.48,3,218,71.22
1674,14119,United Kingdom,2010-07,367.21,178.15,0.0,2,219,71.38
392,12803,Germany,2010-07,366.4,219.81,34.56,2,220,71.54
1622,14067,United Kingdom,2011-03,359.59,0.0,104.96,3,221,71.69
148,12551,France,2011-06,359.54,0.0,0.0,2,222,71.85
1594,14038,United Kingdom,2011-07,359.48,0.0,0.0,2,223,72.01
1615,14060,United Kingdom,2011-02,359.19,0.0,0.0,2,224,72.16
955,13381,United Kingdom,2010-08,358.31,772.27,53.37,4,225,72.32
871,13296,EIRE,2011-05,358.22,0.0,11.1,2,226,72.47
2131,14594,United Kingdom,2011-10,351.05,0.0,0.0,1,227,72.62
1838,14292,France,2011-09,350.96,0.0,0.0,2,228,72.78
28,12429,United Kingdom,2011-10,344.69,0.0,0.0,4,229,72.93
2177,14641,United Kingdom,2011-10,340.89,0.0,0.0,2,230,73.07
1302,13737,United Kingdom,2011-07,340.65,0.0,4.6,2,231,73.22
763,13185,United Kingdom,2011-04,340.28,0.0,0.0,2,232,73.37
1298,13733,United Kingdom,2011-09,339.72,0.0,0.0,2,233,73.52
2218,14682,United Kingdom,2010-05,338.58,0.0,0.0,2,234,73.66
1096,13524,United Kingdom,2010-10,337.42,0.0,0.0,3,235,73.81
1444,13884,United Kingdom,2011-10,332.73,0.0,0.0,3,236,73.95
1035,13461,United Kingdom,2011-09,331.08,0.0,0.0,3,237,74.1
2261,14726,United Kingdom,2010-05,329.56,315.49,10.7,2,238,74.24
261,12666,United Kingdom,2010-05,327.65,0.0,29.19,2,239,74.38
318,12724,Germany,2011-10,326.77,0.0,0.0,1,240,74.52
1337,13773,United Kingdom,2010-05,326.51,181.23,124.55,3,241,74.67
580,12996,United Kingdom,2011-06,326.13,0.0,126.32,3,242,74.81
2003,14461,United Kingdom,2010-10,325.93,0.0,0.0,2,243,74.95
2144,14607,United Kingdom,2010-02,323.87,703.05,76.53,3,244,75.09
1823,14276,United Kingdom,2011-02,318.18,0.0,0.0,2,245,75.23
1501,13943,Germany,2010-07,317.48,343.04,0.0,3,246,75.36
2207,14671,Switzerland,2011-06,314.73,0.0,0.0,2,247,75.5
233,12638,United Kingdom,2010-08,313.69,114.12,0.0,2,248,75.64
738,13160,United Kingdom,2011-09,309.88,0.0,32.94,4,249,75.77
1455,13895,United Kingdom,2011-08,309.54,0.0,0.0,3,250,75.91
1023,13449,United Kingdom,2011-11,308.49,0.0,0.0,1,251,76.04
2221,14685,United Kingdom,2010-10,308.38,487.61,99.63,3,252,76.17
1097,13526,Australia,2010-06,308.32,42.63,0.0,2,253,76.31
713,13134,United Kingdom,2010-05,308.17,1324.91,78.63,2,254,76.44
125,12527,United Kingdom,2011-09,305.32,0.0,0.0,1,255,76.57
1132,13562,United Kingdom,2011-09,304.73,0.0,0.0,1,256,76.71
1496,13937,United Kingdom,2011-10,304.52,0.0,0.0,2,257,76.84
43,12444,United Kingdom,2011-09,303.67,0.0,0.0,1,258,76.97
1020,13446,United Kingdom,2010-05,300.69,684.98,0.0,3,259,77.1
634,13053,Switzerland,2011-01,300.54,0.0,0.0,2,260,77.23
339,12746,United Kingdom,2011-07,300.51,0.0,0.0,1,261,77.36
1880,14334,France,2011-10,300.24,0.0,270.59,3,262,77.49
807,13230,United Kingdom,2011-11,299.18,0.0,81.38,4,263,77.62
1918,14374,United Kingdom,2011-05,297.91,0.0,28.89,1,264,77.75
27,12428,United Kingdom,2010-04,294.69,976.35,0.0,3,265,77.88
785,13208,United Kingdom,2011-09,294.51,0.0,0.0,1,266,78.0
2168,14632,United Kingdom,2010-11,293.83,327.55,0.0,3,267,78.13
262,12667,Norway,2011-11,293.39,0.0,0.0,2,268,78.26
603,13020,United Kingdom,2009-12,291.26,1080.34,45.2,2,269,78.39
363,12772,EIRE,2011-07,289.28,0.0,42.49,3,270,78.51
1191,13624,United Kingdom,2010-05,288.6,517.85,0.0,1,271,78.64
1952,14409,United Kingdom,2010-05,288.59,431.2,164.19,1,272,78.76
1822,14273,United Kingdom,2011-10,288.46,0.0,0.0,3,273,78.89
820,13243,United Kingdom,2011-07,288.27,0.0,0.0,3,274,79.01
2253,14717,United Kingdom,2011-11,287.82,0.0,29.4,1,275,79.14
846,13269,United Kingdom,2010-11,286.96,559.87,0.0,1,276,79.26
2316,14783,United Kingdom,2011-04,286.94,0.0,21.04,2,277,79.39
2102,14564,United Kingdom,2010-11,286.52,157.6,70.9,2,278,79.51
1051,13478,United Kingdom,2011-03,286.46,0.0,48.94,3,279,79.63
1122,13552,United Kingdom,2010-12,285.01,0.0,0.0,1,280,79.76
2038,14497,United Kingdom,2011-04,284.51,0.0,0.0,1,281,79.88
822,13245,United Kingdom,2011-09,284.08,0.0,50.76,4,282,80.0
1762,14210,United Kingdom,2011-10,284.03,0.0,9.78,2,283,80.13
1161,13593,United Kingdom,2010-06,283.26,938.77,0.0,1,284,80.25
1996,14454,United Kingdom,2010-11,279.93,48.0,34.32,2,285,80.37
1318,13754,United Kingdom,2010-02,279.29,211.31,0.0,2,286,80.49
2088,14549,Belgium,2011-01,278.54,0.0,0.0,2,287,80.61
2146,14609,United Kingdom,2011-11,278.52,0.0,0.0,3,288,80.73
1597,14041,United Kingdom,2011-03,278.51,0.0,0.0,1,289,80.85
1178,13611,United Kingdom,2011-02,276.36,0.0,0.0,2,290,80.97
1448,13888,United Kingdom,2011-05,275.46,0.0,0.0,1,291,81.09
66,12468,United Kingdom,2011-06,275.41,0.0,60.88,3,292,81.21
2011,14470,United Kingdom,2011-11,270.22,0.0,38.15,3,293,81.33
9,12408,United Kingdom,2011-02,270.08,0.0,0.0,2,294,81.45
1608,14052,United Kingdom,2011-05,269.83,0.0,38.08,3,295,81.56
289,12695,United Kingdom,2010-06,269.28,0.0,0.0,1,296,81.68
1665,14110,United Kingdom,2010-04,268.49,44.4,0.0,1,297,81.8
152,12555,United Kingdom,2010-02,268.42,139.07,112.52,5,298,81.91
1131,13561,United Kingdom,2011-01,267.98,0.0,23.12,1,299,82.03
1971,14428,United Kingdom,2010-09,266.83,0.0,0.0,3,300,82.15
1502,13944,United Kingdom,2011-09,266.47,0.0,0.0,1,301,82.26
1182,13615,United Kingdom,2010-10,266.32,0.0,0.0,2,302,82.38
282,12688,United Kingdom,2011-10,265.79,0.0,0.0,2,303,82.49
1624,14069,France,2011-09,264.75,0.0,0.0,2,304,82.61
1372,13811,United Kingdom,2010-08,264.36,396.63,0.0,2,305,82.72
2323,14790,United Kingdom,2011-11,263.87,0.0,0.0,1,306,82.84
211,12614,United Kingdom,2011-11,263.16,0.0,0.0,1,307,82.95
681,13101,United Kingdom,2010-04,262.79,489.11,0.0,3,308,83.06
46,12448,United Kingdom,2011-04,262.53,0.0,50.81,2,309,83.18
1279,13714,United Kingdom,2011-02,262.28,0.0,0.0,1,310,83.29
485,12899,United Kingdom,2011-09,261.28,0.0,0.0,1,311,83.41
1047,13474,United Kingdom,2010-09,261.13,157.77,0.0,2,312,83.52
375,12785,United Kingdom,2011-10,260.62,0.0,0.0,1,313,83.63
1794,14242,United Kingdom,2010-11,260.46,312.14,16.45,2,314,83.74
2311,14778,United Kingdom,2010-09,259.61,0.0,0.0,2,315,83.86
1515,13958,United Kingdom,2010-09,259.12,821.18,0.0,2,316,83.97
1109,13539,Germany,2011-11,257.06,0.0,0.0,3,317,84.08
80,12482,United Kingdom,2011-10,256.39,0.0,0.0,2,318,84.19
1427,13867,United Kingdom,2011-04,254.72,0.0,0.0,2,319,84.3
1786,14234,United Kingdom,2010-11,254.46,181.1,0.0,2,320,84.41
715,13136,United Kingdom,2011-11,252.2,0.0,0.0,1,321,84.52
227,12630,United Kingdom,2011-05,249.46,0.0,0.0,3,322,84.63
615,13034,United Kingdom,2011-02,249.38,0.0,27.88,3,323,84.74
297,12703,United Kingdom,2011-01,247.9,0.0,0.0,2,324,84.85
1245,13680,United Kingdom,2010-10,247.74,546.94,22.47,2,325,84.95
1440,13880,United Kingdom,2010-04,243.35,481.95,0.0,3,326,85.06
2265,14730,United Kingdom,2011-05,240.32,0.0,13.23,2,327,85.16
1506,13948,United Kingdom,2011-01,239.98,0.0,0.0,2,328,85.27
560,12976,United Kingdom,2011-09,239.53,0.0,0.0,1,329,85.37
1825,14278,United Kingdom,2009-12,239.43,99.57,0.0,3,330,85.48
838,13261,United Kingdom,2011-10,238.78,0.0,0.0,1,331,85.58
915,13341,EIRE,2010-12,238.63,0.0,0.0,4,332,85.68
2188,14652,United Kingdom,2011-01,237.85,0.0,0.0,2,333,85.79
38,12439,United Kingdom,2011-11,237.63,0.0,0.0,1,334,85.89
206,12609,United Kingdom,2010-04,235.98,166.89,0.0,2,335,85.99
84,12486,United Kingdom,2010-04,235.85,494.62,0.0,2,336,86.09
1626,14071,Germany,2011-01,234.78,0.0,0.0,1,337,86.19
1371,13810,United Kingdom,2010-07,234.28,-62.72,39.51,1,338,86.3
1293,13728,United Kingdom,2011-09,233.67,0.0,28.21,2,339,86.4
466,12878,Germany,2011-09,232.06,0.0,0.0,1,340,86.5
105,12507,United Kingdom,2011-09,232.0,0.0,0.0,1,341,86.6
662,13081,United Kingdom,2011-11,230.5,0.0,0.0,1,342,86.7
734,13155,United Kingdom,2010-07,229.56,236.2,0.0,2,343,86.8
208,12611,United Kingdom,2011-10,229.55,0.0,82.85,3,344,86.9
1991,14449,United Kingdom,2011-08,228.64,0.0,0.0,1,345,87.0
144,12546,United Kingdom,2011-11,228.17,0.0,0.0,1,346,87.1
1751,14199,United Kingdom,2011-11,227.54,0.0,0.0,1,347,87.19
305,12711,United Kingdom,2010-04,227.19,455.98,0.0,2,348,87.29
536,12951,United Kingdom,2010-10,226.63,342.03,117.4,4,349,87.39
610,13028,United Kingdom,2011-05,225.99,0.0,111.14,3,350,87.49
2068,14528,United Kingdom,2011-10,224.46,0.0,31.57,2,351,87.59
1764,14212,United Kingdom,2011-06,223.56,0.0,0.0,4,352,87.68
26,12427,United Kingdom,2011-09,222.57,0.0,0.0,3,353,87.78
2087,14548,United Kingdom,2011-09,222.46,0.0,46.86,3,354,87.88
530,12945,United Kingdom,2010-11,221.53,68.37,0.0,1,355,87.97
677,13097,United Kingdom,2011-06,221.2,0.0,87.39,4,356,88.07
2237,14701,United Kingdom,2011-11,220.47,0.0,0.0,1,357,88.16
1911,14366,United Kingdom,2011-11,220.16,0.0,0.0,1,358,88.26
742,13164,United Kingdom,2011-06,219.32,0.0,0.0,2,359,88.36
384,12795,United Kingdom,2011-04,218.44,0.0,77.8,3,360,88.45
2050,14510,United Kingdom,2011-11,218.12,0.0,0.0,2,361,88.54
1259,13694,United Kingdom,2010-02,217.92,186.32,44.52,1,362,88.64
910,13336,United Kingdom,2011-11,217.9,0.0,0.0,2,363,88.73
367,12777,United Kingdom,2011-09,216.86,0.0,0.0,3,364,88.83
2035,14494,United Kingdom,2011-06,212.89,0.0,49.3,2,365,88.92
1659,14104,United Kingdom,2011-10,211.9,0.0,0.0,2,366,89.01
1067,13495,United Kingdom,2010-05,210.48,340.82,24.04,2,367,89.1
218,12621,Netherlands,2011-10,206.35,0.0,33.76,2,368,89.19
1181,13614,United Kingdom,2011-08,204.49,0.0,44.38,3,369,89.28
864,13289,United Kingdom,2011-11,204.07,0.0,0.0,1,370,89.37
642,13061,United Kingdom,2011-05,203.15,0.0,0.0,1,371,89.46
1987,14445,United Kingdom,2010-04,202.89,529.24,0.0,1,372,89.55
