month_key,month_label,year,quarter_label,is_complete_month,gross_revenue,returns_value,net_revenue,net_revenue_guest,net_revenue_identified,gross_revenue_identified,units_gross,units_returned,units_gross_identified,orders,orders_identified,credit_notes,active_customers,new_customers,returning_customers,orders_per_customer,units_per_order,avg_unit_price,return_rate_identified,return_rate_pct,aov,revenue_per_active_customer,guest_revenue_share_pct,revenue_retained,kpi_tree_value,kpi_tree_residual
201010,2010-10,2010,2010-Q4,1,278690.51,5214.83,273475.68,54747.6,218728.08,223247.21,60764,1138,47111,1671,1285,145,623,123,500,2.0626,36.6623,4.7387,0.020243,1.8712,163.66,351.09,20.02,0.979757,218725.97290737115,2.107092628837563
201011,2010-11,2010,2010-Q4,1,385211.95,8307.16,376904.79,87542.11,289362.68,295963.24,79047,1721,61289,2292,1800,209,725,132,593,2.4828,34.0494,4.829,0.022302,2.1565,164.44,399.12,23.23,0.977698,289368.4239369334,-5.743936933402438
201012,2010-12,2010,2010-Q4,1,312102.74,8265.51,303837.23,59206.78,244630.45,250931.87,64336,1797,51410,2036,1606,208,720,107,613,2.2306,32.0112,4.881,0.025112,2.6483,149.23,339.76,19.49,0.974888,244635.613770626,-5.163770625978941
201101,2011-01,2011,2011-Q1,1,142231.29,5427.72,136803.57,28344.9,108458.67,112730.85,33335,1224,26964,960,755,148,495,59,436,1.5253,35.7139,4.1808,0.037897,3.8161,142.5,219.11,20.72,0.962103,108462.27478682493,-3.6047868249297608
201102,2011-02,2011,2011-Q1,1,135795.67,3734.42,132061.25,28064.15,103997.1,107064.1,28834,806,22773,933,737,99,483,79,404,1.5259,30.8996,4.7014,0.028646,2.75,141.54,215.31,21.25,0.971354,103999.39123323643,-2.291233236421249
201103,2011-03,2011,2011-Q1,1,192376.03,4753.45,187622.58,34965.18,152657.4,156554.36,37828,1088,30114,1236,979,127,570,78,492,1.7175,30.76,5.1987,0.024892,2.4709,151.8,267.82,18.64,0.975108,152653.02278409785,4.377215902146418
201104,2011-04,2011,2011-Q2,1,192055.89,4514.67,187541.22,37904.64,149636.58,153489.83,39539,969,31700,1202,952,125,554,71,483,1.7184,33.2983,4.842,0.025104,2.3507,156.02,270.1,20.21,0.974896,149637.05906800047,-0.4790680004807655
201105,2011-05,2011,2011-Q2,1,220731.23,4921.97,215809.26,56460.19,159349.07,163380.33,44019,1052,34918,1337,1049,129,575,79,496,1.8243,33.2869,4.679,0.024674,2.2298,161.41,277.13,26.16,0.975326,159345.68262099454,3.3873790054640267
201106,2011-06,2011,2011-Q2,1,216091.55,4935.0,211156.55,42189.39,168967.16,172900.27,44859,1016,35581,1293,998,125,552,74,478,1.808,35.6523,4.8593,0.022748,2.2838,163.31,306.1,19.98,0.977252,168968.33948345817,-1.179483458166942
201107,2011-07,2011,2011-Q3,1,207049.1,4280.78,202768.32,34393.61,168374.71,171639.97,45934,978,36546,1203,953,130,553,68,485,1.7233,38.3484,4.6965,0.019024,2.0675,168.55,304.48,16.96,0.980976,168370.4904679992,4.219532000803156
201108,2011-08,2011,2011-Q3,1,167856.23,6525.05,161331.18,28576.19,132754.99,137723.07,35940,1506,29502,1043,845,179,503,69,434,1.6799,34.9136,4.6683,0.036073,3.8873,154.68,263.93,17.71,0.963927,132754.40780802697,0.5821919730224181
201109,2011-09,2011,2011-Q3,1,224852.46,9365.34,215487.12,34911.92,180575.2,188342.19,42891,2184,34956,1249,1004,261,545,73,472,1.8422,34.8167,5.388,0.041239,4.1651,172.53,331.33,16.2,0.958761,180575.50263124882,-0.30263124880730174
201110,2011-10,2011,2011-Q4,1,242715.59,29085.82,213629.77,44698.07,168931.7,195638.24,50000,2801,37458,1488,1156,325,603,82,521,1.9171,32.4031,5.2229,0.13651,11.9835,143.57,280.15,20.92,0.86349,168934.2326846948,-2.5326846948009916
201111,2011-11,2011,2011-Q4,1,298936.45,15931.8,283004.65,52405.58,230599.07,243313.04,62194,3414,48833,1844,1452,393,639,86,553,2.2723,33.6315,4.9826,0.052254,5.3295,153.47,360.87,18.52,0.947746,230600.7673870987,-1.6973870986839756
201112,2011-12,2011,2011-Q4,0,66262.38,4411.01,61851.37,12936.76,48914.61,52774.76,13861,969,11036,442,346,124,325,31,294,1.0646,31.896,4.7821,0.073144,6.6569,139.94,150.51,20.92,0.926856,48914.42635539583,0.18364460417069495
