product_key,stock_code,description,product_family,is_non_product,net_revenue_cur,net_revenue_cmp,net_revenue_delta,gross_revenue_cur,gross_revenue_cmp,returns_cur,returns_cmp,units_cur,units_cmp,orders_cur,return_rate_cur_pct,return_rate_cmp_pct,net_revenue_change_pct,revenue_rank,cumulative_revenue_share_pct
87,20386,RED VINTAGE CAKE STAND,VINTAGE,0,3664.11,5923.24,-2259.13,3897.87,6103.38,233.76,180.14,492,775,60,6.0,2.95,-38.14,20,50.04
86,20385,GREEN VINTAGE CAKE STAND,VINTAGE,0,3568.49,4513.18,-944.69,3625.82,4661.15,57.33,147.97,473,608,56,1.58,3.17,-20.93,21,51.3
14,20061,SMALL GLASS TRINKET BOX,GLASS,0,3540.43,4136.82,-596.39,4227.71,4209.54,687.28,72.72,964,969,115,16.26,1.73,-14.42,22,52.55
120,20535,RED STORAGE CLOCK,STORAGE,0,3517.25,4391.46,-874.21,3674.77,4461.71,157.52,70.25,268,322,34,4.29,1.57,-19.91,23,53.79
44,20199,BLUE CERAMIC SIGN,CERAMIC,0,3310.24,5078.57,-1768.33,3691.0,5250.72,380.76,172.15,757,1083,96,10.32,3.28,-34.82,24,54.96
23,20100,SET OF 6 GLASS CAKE STAND,GLASS,0,3124.1,3384.71,-260.61,3803.99,3584.6,679.89,199.89,779,715,89,17.87,5.58,-7.7,25,56.06
36,20156,ANTIQUE CERAMIC WATER BOTTLE,CERAMIC,0,3113.92,3561.71,-447.79,3180.14,3561.71,66.22,0.0,709,807,87,2.08,0.0,-12.57,26,57.17
32,20143,LARGE CERAMIC STAR DECORATION,CERAMIC,0,2977.9,3210.19,-232.29,3114.41,3284.43,136.51,74.24,924,975,111,4.38,2.26,-7.24,27,58.22
33,20149,BLUE CERAMIC HANGING DECORATION,CERAMIC,0,2888.17,2703.93,184.24,2923.37,2776.0,35.2,72.07,663,615,84,1.2,2.6,6.81,28,59.24
80,20360,GREEN PAPER WATER BOTTLE,PAPER,0,2852.23,1653.59,1198.64,2903.81,1695.15,51.58,41.56,2514,1006,124,1.78,2.45,72.49,29,60.25
93,20404,GREEN VINTAGE BUNTING,VINTAGE,0,2821.26,3455.08,-633.82,2879.61,3486.56,58.35,31.48,1265,1553,165,2.03,0.9,-18.34,30,61.24
17,20077,SET OF 6 GLASS JAR,GLASS,0,2795.03,4029.14,-1234.11,3348.11,4100.2,553.08,71.06,535,646,65,16.52,1.73,-30.63,31,62.23
103,20445,SET OF 6 VINTAGE MUG,VINTAGE,0,2790.69,3438.64,-647.95,2790.69,3553.72,0.0,115.08,305,394,39,0.0,3.24,-18.84,32,63.22
114,20502,LARGE STORAGE TRINKET BOX,STORAGE,0,2647.94,3047.73,-399.79,2742.42,3227.08,94.48,179.35,233,276,31,3.45,5.56,-13.12,33,64.15
15,20066,SMALL GLASS WATER BOTTLE,GLASS,0,2646.64,3047.37,-400.73,3051.46,3083.01,404.82,35.64,990,1002,125,13.27,1.16,-13.15,34,65.09
50,20237,SMALL LANTERN MUG,LANTERN,0,2604.01,3292.1,-688.09,2694.61,3379.85,90.6,87.75,293,365,34,3.36,2.6,-20.9,35,66.01
97,20417,RED VINTAGE NOTEBOOK,VINTAGE,0,2575.59,17737.49,-15161.9,2765.49,17843.22,189.9,105.73,515,896,66,6.87,0.59,-85.48,36,66.92
8,20036,PINK GLASS CAKE STAND,GLASS,0,2561.49,6284.75,-3723.26,3624.5,6484.41,1063.01,199.66,646,1169,85,29.33,3.08,-59.24,37,67.82
82,20364,WHITE PAPER JAR,PAPER,0,2468.19,17159.35,-14691.16,2494.33,17321.17,26.14,161.82,1058,1084,130,1.05,0.93,-85.62,38,68.69
5,20018,WHITE GLASS COASTER SET,GLASS,0,2398.92,3697.89,-1298.97,2779.53,3794.87,380.61,96.98,487,666,61,13.69,2.56,-35.13,39,69.54
121,POST,POSTAGE,NON_PRODUCT,1,2379.27,3728.07,-1348.8,2379.27,3728.07,0.0,0.0,118,189,118,0.0,0.0,-36.18,40,70.38
39,20174,LARGE CERAMIC HANGING DECORATION,CERAMIC,0,2270.27,3186.82,-916.55,2270.27,3186.82,0.0,0.0,538,750,69,0.0,0.0,-28.76,41,71.19
52,20243,GREEN LANTERN COASTER SET,LANTERN,0,2243.66,3450.66,-1207.0,2399.06,3450.66,155.4,0.0,244,333,29,6.48,0.0,-34.98,42,71.98
37,20161,WHITE CERAMIC PLACEMAT,CERAMIC,0,2229.84,2995.61,-765.77,2353.71,3118.2,123.87,122.59,550,717,72,5.26,3.93,-25.56,43,72.77
99,20425,SMALL VINTAGE DOORSTOP,VINTAGE,0,2229.2,2885.24,-656.04,2229.2,2901.19,0.0,15.95,700,909,90,0.0,0.55,-22.74,44,73.55
109,20468,SMALL STORAGE BOWL,STORAGE,0,2193.85,3474.47,-1280.62,2253.05,3542.78,59.2,68.31,387,599,47,2.63,1.93,-36.86,45,74.33
30,20134,BLUE CERAMIC MUG,CERAMIC,0,2096.13,1991.82,104.31,2096.13,2009.87,0.0,18.05,531,516,66,0.0,0.9,5.24,46,75.07
42,20191,GREEN CERAMIC CAKE STAND,CERAMIC,0,2051.75,2702.24,-650.49,2198.17,2702.24,146.42,0.0,452,545,54,6.66,0.0,-24.07,47,75.79
104,20452,SMALL VINTAGE HANGING DECORATION,VINTAGE,0,1946.8,2657.83,-711.03,2071.2,2697.52,124.4,39.69,331,413,46,6.01,1.47,-26.75,48,76.48
13,20055,RED GLASS SIGN,GLASS,0,1890.96,12458.83,-10567.87,2150.78,12478.63,259.82,19.8,682,838,91,12.08,0.16,-84.82,49,77.15
106,20456,SET OF 6 STORAGE CAKE STAND,STORAGE,0,1785.65,625.06,1160.59,1785.65,891.69,0.0,266.63,144,73,18,0.0,29.9,185.68,50,77.78
58,20264,SET OF 6 LANTERN CUSHION COVER,LANTERN,0,1723.34,2036.75,-313.41,1749.38,2127.29,26.04,90.54,790,967,96,1.49,4.26,-15.39,51,78.39
111,20479,BLUE STORAGE CAKE STAND,STORAGE,0,1692.97,2274.4,-581.43,1737.29,2274.4,44.32,0.0,193,247,27,2.55,0.0,-25.56,52,78.99
94,20405,SMALL VINTAGE HEART T-LIGHT HOLDER,VINTAGE,0,1633.3,1518.2,115.1,1633.3,1555.68,0.0,37.48,674,653,85,0.0,2.41,7.58,53,79.57
92,20399,GREEN VINTAGE LUNCH BAG,VINTAGE,0,1630.83,3382.39,-1751.56,1665.93,3459.73,35.1,77.34,471,3207,58,2.11,2.24,-51.78,54,80.14
48,20225,CREAM LANTERN WATER BOTTLE,LANTERN,0,1619.73,1893.44,-273.71,1666.71,1893.44,46.98,0.0,307,358,38,2.82,0.0,-14.46,55,80.71
90,20396,WHITE VINTAGE CAKE STAND,VINTAGE,0,1596.67,1399.26,197.41,1667.57,1650.6,70.9,251.34,236,257,27,4.25,15.23,14.11,56,81.28
22,20098,ANTIQUE GLASS STAR DECORATION,GLASS,0,1577.69,2402.82,-825.13,1896.53,2471.92,318.84,69.1,306,382,40,16.81,2.8,-34.34,57,81.84
77,20348,BLUE PAPER TEA TOWEL,PAPER,0,1565.42,2061.59,-496.17,1644.95,2087.42,79.53,25.83,639,804,79,4.83,1.24,-24.07,58,82.39
91,20397,LARGE VINTAGE CUSHION COVER,VINTAGE,0,1551.16,2367.97,-816.81,1733.88,2430.69,182.72,62.72,242,324,33,10.54,2.58,-34.49,59,82.94
53,20246,WHITE LANTERN CANDLE PLATE,LANTERN,0,1539.39,1612.61,-73.22,1539.39,1734.72,0.0,122.11,229,258,29,0.0,7.04,-4.54,60,83.48
2,20007,PINK GLASS PLACEMAT,GLASS,0,1518.83,2379.63,-860.8,1737.53,2379.63,218.7,0.0,353,486,45,12.59,0.0,-36.17,61,84.02
12,20052,GREEN GLASS CUSHION COVER,GLASS,0,1498.58,2116.48,-617.9,1782.07,2116.48,283.49,0.0,349,412,46,15.91,0.0,-29.19,62,84.55
41,20185,RED CERAMIC CLOCK,CERAMIC,0,1483.3,1897.17,-413.87,1509.06,1897.17,25.76,0.0,434,537,55,1.71,0.0,-21.82,63,85.07
54,20249,SET OF 6 LANTERN TEA TOWEL,LANTERN,0,1479.32,1493.24,-13.92,1619.58,1533.04,140.26,39.8,430,397,50,8.66,2.6,-0.93,64,85.59
72,20331,ANTIQUE PAPER CANDLE PLATE,PAPER,0,1441.59,1816.83,-375.24,1573.99,1871.5,132.4,54.67,630,748,75,8.41,2.92,-20.65,65,86.1
3,20010,ANTIQUE GLASS CUSHION COVER,GLASS,0,1421.41,2917.24,-1495.83,1821.16,2988.7,399.75,71.46,528,870,67,21.95,2.39,-51.28,66,86.61
6,20024,SMALL GLASS NAPKINS,GLASS,0,1338.83,1563.88,-225.05,1573.26,1585.3,234.43,21.42,665,676,84,14.9,1.35,-14.39,67,87.08
89,20394,ANTIQUE VINTAGE PHOTO FRAME,VINTAGE,0,1233.38,1314.53,-81.15,1233.38,1360.34,0.0,45.81,563,609,74,0.0,3.37,-6.17,68,87.51
40,20177,PINK CERAMIC BASKET,CERAMIC,0,1185.12,1347.14,-162.02,1206.58,1394.79,21.46,47.65,958,1115,125,1.78,3.42,-12.03,69,87.93
98,20422,LARGE VINTAGE BOWL,VINTAGE,0,1173.4,1204.9,-31.5,1275.63,1204.9,102.23,0.0,266,252,33,8.01,0.0,-2.61,70,88.35
63,20289,LARGE PAPER TRINKET BOX,PAPER,0,1151.91,1298.1,-146.19,1210.89,1332.97,58.98,34.87,432,479,55,4.87,2.62,-11.26,71,88.76
34,20151,SMALL CERAMIC PHOTO FRAME,CERAMIC,0,1151.51,1909.33,-757.82,1151.51,1935.01,0.0,25.68,355,583,48,0.0,1.33,-39.69,72,89.16
96,20409,PINK VINTAGE PLACEMAT,VINTAGE,0,1140.38,2185.68,-1045.3,1140.38,2269.32,0.0,83.64,216,418,30,0.0,3.69,-47.82,73,89.57
60,20279,SMALL LANTERN HANGING DECORATION,LANTERN,0,1097.09,1583.98,-486.89,1112.93,1591.96,15.84,7.98,417,598,55,1.42,0.5,-30.74,74,89.95
57,20263,RED LANTERN COASTER SET,LANTERN,0,1082.71,1513.95,-431.24,1154.92,1548.69,72.21,34.74,494,669,63,6.25,2.24,-28.48,75,90.34
71,20325,BLUE PAPER BASKET,PAPER,0,1073.67,1792.3,-718.63,1137.93,1842.76,64.26,50.46,407,647,50,5.65,2.74,-40.1,76,90.71
49,20233,CREAM LANTERN COASTER SET,LANTERN,0,1073.0,1586.3,-513.3,1073.0,1586.3,0.0,0.0,124,184,16,0.0,0.0,-32.36,77,91.09
9,20038,CREAM GLASS CLOCK,GLASS,0,1030.93,1376.44,-345.51,1226.81,1376.44,195.88,0.0,219,256,27,15.97,0.0,-25.1,78,91.46
110,20476,GREEN STORAGE WATER BOTTLE,STORAGE,0,1016.8,2603.22,-1586.42,1158.15,2603.22,141.35,0.0,155,353,20,12.2,0.0,-60.94,79,91.82
10,20039,GREEN GLASS GARLAND,GLASS,0,933.2,970.39,-37.19,1120.09,1002.97,186.89,32.58,523,492,70,16.69,3.25,-3.83,80,92.15
107,20462,BLUE STORAGE MUG,STORAGE,0,860.8,1290.82,-430.02,912.67,1290.82,51.87,0.0,219,310,30,5.68,0.0,-33.31,81,92.45
28,20123,PINK CERAMIC APRON,CERAMIC,0,856.29,989.35,-133.06,856.29,989.35,0.0,0.0,315,370,36,0.0,0.0,-13.45,82,92.75
20,20086,WHITE GLASS CAKE STAND,GLASS,0,855.21,1886.38,-1031.17,1073.15,1886.38,217.94,0.0,235,415,28,20.31,0.0,-54.66,83,93.06
29,20129,CREAM CERAMIC JAR,CERAMIC,0,854.33,774.27,80.06,895.59,806.27,41.26,32.0,308,269,38,4.61,3.97,10.34,84,93.36
100,20433,BLUE VINTAGE NAPKINS,VINTAGE,0,838.17,1347.45,-509.28,838.17,1347.45,0.0,0.0,100,161,13,0.0,0.0,-37.8,85,93.65
16,20074,RED GLASS CLOCK,GLASS,0,837.54,1266.47,-428.93,958.23,1288.91,120.69,22.44,474,653,58,12.6,1.74,-33.87,86,93.95
19,20085,WHITE GLASS LUNCH BAG,GLASS,0,819.34,1125.44,-306.1,1273.92,1125.44,454.58,0.0,228,207,29,35.68,0.0,-27.2,87,94.24
88,20390,CREAM VINTAGE PHOTO FRAME,VINTAGE,0,785.53,791.21,-5.68,802.82,816.59,17.29,25.38,301,310,36,2.15,3.11,-0.72,88,94.52
7,20030,SET OF 6 GLASS CAKE STAND,GLASS,0,713.79,1051.51,-337.72,828.25,1074.46,114.46,22.95,187,250,23,13.82,2.14,-32.12,89,94.77
35,20153,GREEN CERAMIC GARLAND,CERAMIC,0,692.3,770.07,-77.77,692.3,776.94,0.0,6.87,289,322,35,0.0,0.88,-10.1,90,95.01
61,20286,WHITE PAPER MUG,PAPER,0,641.51,1046.29,-404.78,667.36,1063.65,25.85,17.36,294,458,38,3.87,1.63,-38.69,91,95.24
4,20013,GREEN GLASS CLOCK,GLASS,0,629.42,726.95,-97.53,707.69,780.77,78.27,53.82,393,432,48,11.06,6.89,-13.42,92,95.46
69,20314,ANTIQUE PAPER COASTER SET,PAPER,0,624.72,799.61,-174.89,624.72,833.45,0.0,33.84,332,465,42,0.0,4.06,-21.87,93,95.68
75,20342,ANTIQUE PAPER HANGING DECORATION,PAPER,0,604.16,673.51,-69.35,617.32,683.68,13.16,10.17,542,607,72,2.13,1.49,-10.3,94,95.9
84,20374,CREAM PAPER CLOCK,PAPER,0,598.87,868.43,-269.56,616.58,901.58,17.71,33.15,242,350,32,2.87,3.68,-31.04,95,96.11
102,20442,LARGE VINTAGE COASTER SET,VINTAGE,0,598.53,700.42,-101.89,598.53,713.44,0.0,13.02,332,392,40,0.0,1.82,-14.55,96,96.32
67,20303,BLUE PAPER CAKE STAND,PAPER,0,595.8,876.86,-281.06,637.8,896.9,42.0,20.04,380,537,53,6.59,2.23,-32.05,97,96.53
11,20045,BLUE GLASS SIGN,GLASS,0,595.36,900.9,-305.54,794.86,900.9,199.5,0.0,148,167,18,25.1,0.0,-33.91,98,96.74
70,20322,PINK PAPER CANDLE PLATE,PAPER,0,577.92,467.99,109.93,577.92,488.57,0.0,20.58,210,181,27,0.0,4.21,23.49,99,96.95
27,20116,BLUE CERAMIC JAR,CERAMIC,0,562.99,823.79,-260.8,562.99,847.11,0.0,23.32,261,384,33,0.0,2.75,-31.66,100,97.14
47,20220,PINK LANTERN TRINKET BOX,LANTERN,0,560.32,839.01,-278.69,597.12,839.01,36.8,0.0,138,192,16,6.16,0.0,-33.22,101,97.34
1,20005,PINK GLASS NAPKINS,GLASS,0,551.88,814.88,-263.0,789.95,814.88,238.07,0.0,137,141,16,30.14,0.0,-32.27,102,97.54
26,20114,SET OF 6 CERAMIC GARLAND,CERAMIC,0,544.41,986.5,-442.09,560.19,986.5,15.78,0.0,200,349,27,2.82,0.0,-44.81,103,97.73
81,20361,BLUE PAPER STAR DECORATION,PAPER,0,470.77,426.09,44.68,517.25,445.69,46.48,19.6,218,190,28,8.99,4.4,10.49,104,97.9
73,20335,ANTIQUE PAPER CLOCK,PAPER,0,469.64,574.39,-104.75,469.64,574.39,0.0,0.0,283,359,33,0.0,0.0,-18.24,105,98.06
78,20351,PINK PAPER BASKET,PAPER,0,468.28,608.54,-140.26,493.76,627.73,25.48,19.19,301,374,37,5.16,3.06,-23.05,106,98.23
64,20293,ANTIQUE PAPER PLACEMAT,PAPER,0,464.83,215.0,249.83,481.28,215.0,16.45,0.0,207,92,26,3.42,0.0,116.2,107,98.39
25,20113,BLUE CERAMIC GARLAND,CERAMIC,0,439.52,483.33,-43.81,439.52,483.33,0.0,0.0,244,267,30,0.0,0.0,-9.06,108,98.55
59,20272,GREEN LANTERN CANDLE PLATE,LANTERN,0,435.7,789.51,-353.81,504.4,789.51,68.7,0.0,70,110,8,13.62,0.0,-44.81,109,98.7
68,20308,SET OF 6 PAPER WATER BOTTLE,PAPER,0,425.4,359.34,66.06,458.43,386.46,33.03,27.12,213,177,24,7.21,7.02,18.38,110,98.85
95,20407,CREAM VINTAGE BOWL,VINTAGE,0,382.19,746.56,-364.37,382.19,746.56,0.0,0.0,68,135,9,0.0,0.0,-48.81,111,98.99
62,20287,SET OF 6 PAPER HANGING DECORATION,PAPER,0,380.27,565.41,-185.14,380.27,577.65,0.0,12.24,256,388,31,0.0,2.12,-32.74,112,99.12
38,20169,GREEN CERAMIC DOORSTOP,CERAMIC,0,369.78,730.78,-361.0,369.78,730.78,0.0,0.0,132,265,18,0.0,0.0,-49.4,113,99.25
24,20107,PINK GLASS DOORSTOP,GLASS,0,365.71,739.7,-373.99,473.28,753.02,107.57,13.32,283,442,35,22.73,1.77,-50.56,114,99.38
65,20295,BLUE PAPER PLACEMAT,PAPER,0,337.28,395.44,-58.16,355.3,411.68,18.02,16.24,865,995,106,5.07,3.94,-14.71,115,99.5
18,20082,BLUE GLASS GARLAND,GLASS,0,322.59,238.24,84.35,481.61,283.69,159.02,45.45,105,63,13,33.02,16.02,35.41,116,99.61
45,20205,SMALL LANTERN CUSHION COVER,LANTERN,0,286.92,310.89,-23.97,322.34,310.89,35.42,0.0,104,98,13,10.99,0.0,-7.71,117,99.72
74,20339,RED PAPER TRINKET BOX,PAPER,0,284.9,472.66,-187.76,295.94,472.66,11.04,0.0,233,364,32,3.73,0.0,-39.72,118,99.82
83,20368,WHITE PAPER CANDLE PLATE,PAPER,0,268.21,468.93,-200.72,273.71,511.14,5.5,42.21,237,447,31,2.01,8.26,-42.8,119,99.91
66,20298,GREEN PAPER CLOCK,PAPER,0,139.6,1594.38,-1454.78,139.6,1594.38,0.0,0.0,270,2573,34,0.0,0.0,-91.24,120,99.96
21,20090,WHITE GLASS NOTEBOOK,GLASS,0,113.01,260.18,-147.17,127.22,270.98,14.21,10.8,62,137,8,11.17,3.99,-56.56,121,100.0
