month_key,month_label,product_family,gross_revenue,returns_value,return_rate_pct
201103,2011-03,NON_PRODUCT,2123.31,0.0,0.0
201103,2011-03,PAPER,14805.1,379.14,2.56
201103,2011-03,STORAGE,56455.63,1054.84,1.87
201103,2011-03,VINTAGE,28613.11,895.96,3.13
201104,2011-04,CERAMIC,24200.94,676.91,2.8
201104,2011-04,GLASS,26385.66,787.26,2.98
201104,2011-04,LANTERN,26387.37,721.35,2.73
201104,2011-04,NON_PRODUCT,2177.32,0.0,0.0
201104,2011-04,PAPER,15330.22,406.84,2.65
201104,2011-04,STORAGE,68126.85,1354.53,1.99
201104,2011-04,VINTAGE,29447.53,567.78,1.93
201105,2011-05,CERAMIC,27536.01,830.67,3.02
201105,2011-05,GLASS,30510.41,1013.37,3.32
201105,2011-05,LANTERN,29803.44,633.96,2.13
201105,2011-05,NON_PRODUCT,2059.58,0.0,0.0
201105,2011-05,PAPER,24078.34,372.85,1.55
201105,2011-05,STORAGE,60155.84,1151.64,1.91
201105,2011-05,VINTAGE,46587.61,919.48,1.97
201106,2011-06,CERAMIC,28577.69,791.51,2.77
201106,2011-06,GLASS,27815.86,597.47,2.15
201106,2011-06,LANTERN,26891.99,463.4,1.72
201106,2011-06,NON_PRODUCT,2168.08,0.0,0.0
201106,2011-06,PAPER,27011.18,382.5,1.42
201106,2011-06,STORAGE,61340.1,1428.83,2.33
201106,2011-06,VINTAGE,42286.65,1271.29,3.01
201107,2011-07,CERAMIC,39508.21,724.02,1.83
201107,2011-07,GLASS,27264.82,684.57,2.51
201107,2011-07,LANTERN,24295.38,494.57,2.04
201107,2011-07,NON_PRODUCT,1969.47,0.0,0.0
201107,2011-07,PAPER,29931.38,389.6,1.3
201107,2011-07,STORAGE,52348.22,1298.64,2.48
201107,2011-07,VINTAGE,31731.62,689.38,2.17
201108,2011-08,CERAMIC,22558.9,722.28,3.2
201108,2011-08,GLASS,25454.54,3053.68,12.0
201108,2011-08,LANTERN,22390.29,607.02,2.71
201108,2011-08,NON_PRODUCT,1604.03,0.0,0.0
201108,2011-08,PAPER,21692.07,442.55,2.04
201108,2011-08,STORAGE,49286.1,1298.45,2.63
201108,2011-08,VINTAGE,24870.3,401.07,1.61
201109,2011-09,CERAMIC,27438.95,893.42,3.26
201109,2011-09,GLASS,47683.12,5269.13,11.05
201109,2011-09,LANTERN,24464.1,754.07,3.08
201109,2011-09,NON_PRODUCT,1525.56,0.0,0.0
201109,2011-09,PAPER,27917.88,316.72,1.13
201109,2011-09,STORAGE,67087.87,1408.68,2.1
201109,2011-09,VINTAGE,28734.98,723.32,2.52
201110,2011-10,CERAMIC,31820.79,17584.67,55.26
201110,2011-10,GLASS,32622.86,6072.14,18.61
201110,2011-10,LANTERN,32747.69,1590.01,4.86
201110,2011-10,NON_PRODUCT,2255.85,0.0,0.0
201110,2011-10,PAPER,20586.13,494.75,2.4
201110,2011-10,STORAGE,87909.75,2084.3,2.37
201110,2011-10,VINTAGE,34772.52,1259.95,3.62
201111,2011-11,CERAMIC,38508.94,1173.34,3.05
201111,2011-11,GLASS,41651.69,7570.8,18.18
201111,2011-11,LANTERN,39307.58,1670.69,4.25
201111,2011-11,NON_PRODUCT,2379.27,0.0,0.0
201111,2011-11,PAPER,39219.35,962.59,2.45
201111,2011-11,STORAGE,93420.54,3160.83,3.38
201111,2011-11,VINTAGE,44449.08,1393.55,3.14
201112,2011-12,CERAMIC,8785.13,179.65,2.04
201112,2011-12,GLASS,9910.57,1998.26,20.16
201112,2011-12,LANTERN,10169.9,403.8,3.97
201112,2011-12,NON_PRODUCT,547.28,0.0,0.0
201112,2011-12,PAPER,5434.44,256.87,4.73
201112,2011-12,STORAGE,20567.54,1030.95,5.01
201112,2011-12,VINTAGE,10847.52,541.48,4.99
